Base,OrientacionH1,OrientacionH2,SignoV,SignoH1,SignoH2,AnguloH1,AnguloH2,EjeV,EjeH1,EjeH2,Norte,Oeste,LatEstacion,LonEstacion,Norte.1,Oeste.1,LatSismo,LonSismo,Fecha,Institucion,IDEstacion,HoraEpicentro,HoraPrimerMuestra,Profundidad,Mw,Mb,Ms,Mc,Ma,Me,Md,Ml,M,GMW,IDSismo
RIOG0401.132,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.01435,97.43863,N,W,15.99,-97.15,2004-01-13,INSTITUTO DE INGENIERIA UNAM,RIOG,21:28:58.0,21:29:01.00,16.0,0.0,5.5,5.1,5.5,5.3,5.7,0.0,0.0,0.0,5.4,011304J
SMR29603.131,SE,SE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.77351,99.4377,N,W,16.52,-99.08,1996-03-13,INSTITUTO DE INGENIERIA UNAM,SMR2,21:04:19.8,21:04:20    ,18.0,0.0,5.2,4.4,5.1,0.0,0.0,0.0,0.0,0.0,5.1,031396B
PET20903.271,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.535396,101.262608,N,W,17.35,-100.82,2009-03-27,INSTITUTO DE INGENIERIA UNAM,PET2,08:48:16,08:47:38.000,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.3,200903270848A
SUCH8509.211,SW,SW,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,17.226169,100.638345,N,W,18.021,-101.479,1985-09-21,INSTITUTO DE INGENIERIA UNAM,SUCH,01:37:18.4,01:37:40.33,15.0,0.0,6.3,7.6,7.5,0.0,0.0,0.0,0.0,0.0,7.5,092185A
ACAZ1308.215,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,16.788528,99.790152,N,W,16.73,-99.7,2013-08-21,INSTITUTO DE INGENIERIA UNAM ,ACAZ,13:02:18,13:01:23.000,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.3,201308211302A
TAMA1511.231,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.26116,96.57529,N,W,16.86,-98.94,2015-11-23,INSTITUTO DE INGENIERIA UNAM,TAMA,20:41:20,20:41:37.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,201511232041A
CUP39310.241,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,19.33,99.183,N,W,16.54,-98.98,1993-10-24,INSTITUTO DE INGENIERIA UNAM,CUP3,07:52:18.2,07:53:41.00,19.0,0.0,6.2,6.6,6.5,0.0,0.0,0.0,0.0,0.0,6.6,102493C
CANA1308.211,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,18.567007,101.977162,N,W,16.79,-99.56,2013-08-21,INSTITUTO DE INGENIERIA UNAM ,CANA,12:38:30,12:39:08.000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.2,201308211238A
TEAC1104.261,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.61763,99.454086,N,W,16.71,-99.69,2011-04-26,INSTITUTO DE INGENIERIA UNAM ,TEAC,11:07:28,11:07:44.000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.4,201104261107A
COPL1511.231,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.61081,98.98399,N,W,16.86,-98.94,2015-11-23,INSTITUTO DE INGENIERIA UNAM ,COPL,20:41:20,20:40:39.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,201511232041A
OXAL1802.191,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.06148,96.726042,N,W,16.248,-97.775,2018-02-19,INSTITUTO DE INGENIERIA UNAM ,OXAL,06:56:58,06:56:30.000,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201802190657A
ACAC1708.181,NE,NE,1.0,1.0,1.0,00,90,0.0,1.0,2.0,N,W,16.84851,99.85157,N,W,16.853,-100.451,2017-08-18,INSTITUTO DE INGENIERIA UNAM ,ACAC,05:15:12,05:14:41.150,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.4,201708180515A
SNJE1408.041,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,18.535047,101.323693,N,W,17.09,-100.84,2014-08-04,INSTITUTO DE INGENIERIA UNAM,SNJE,00:21:49,00:21:41.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.1,201408040021A
DFRO9310.241,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,19.405,99.166,N,W,16.54,-98.98,1993-10-24,INSTITUTO DE INGENIERIA UNAM,DFRO,07:52:18.2,07:53:20.00,19.0,0.0,6.2,6.6,6.5,0.0,0.0,0.0,0.0,0.0,6.6,102493C
OXTO1802.171,NE,NE,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,17.078389,96.744158,N,W,15.844,-97.989,2018-02-17,INSTITUTO DE INGENIERIA UNAM ,OXTO,00:36:51,00:36:30.000,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,6.0,201802170036A
TOTO1511.231,NE,NE,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,19.330241,98.256828,N,W,16.86,-98.94,2015-11-23,INSTITUTO DE INGENIERIA UNAM ,TOTO,20:41:20,20:41:14.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,201511232041A
OXLC1405.101,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.065039,96.703157,N,W,17.06,-100.95,2014-05-10,INSTITUTO DE INGENIERIA UNAM,OXLC,07:36:01,07:37:04.000,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.1,201405100736A
OXTO0401.131,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,17.078389,96.744158,N,W,16.0,-97.17,2004-01-13,INSTITUTO DE INGENIERIA UNAM,OXTO,19:50:19.8,19:50:35.00,20.0,0.0,5.1,4.3,5.1,4.8,5.0,0.0,0.0,0.0,5.1,011304E
SMLC1408.041,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.654971,96.729233,N,W,15.83,-94.93,2014-08-04,INSTITUTO DE INGENIERIA UNAM,SMLC,04:25:30,04:25:37.000,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0
SXVI8509.211,NE,NW,1.0,1.0,1.0,58,32,0.0,1.0,2.0,N,W,19.358,99.171,N,W,18.021,-101.479,1985-09-21,INSTITUTO DE INGENIERIA UNAM,SXVI,01:37:18.4,01:38:26        ,15.0,0.0,6.3,7.6,7.5,0.0,0.0,0.0,0.0,0.0,7.5,092185A
COPL1405.101,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.61081,98.98399,N,W,17.06,-100.95,2014-05-10,INSTITUTO DE INGENIERIA UNAM,COPL,07:36:01,07:36:12.000,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.1,201405100736A
OCTT9607.151,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,17.25267,99.50587,N,W,17.45,-101.16,1996-07-15,INSTITUTO DE INGENIERIA UNAM,OCTT,21:23:38.5,21:24:25.19 ,20.0,0.0,5.7,6.5,6.0,0.0,0.0,0.0,0.0,0.0,6.6,071596D
POZU1910.051,NE,NE,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,17.09008,99.59754,N,W,16.674,-99.652,2019-10-05,INSTITUTO DE INGENIERIA UNAM ,POZU,16:20:10,16:19:26.000,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.0,201910051620A
CUP49509.141,NE,NE,1.0,1.0,1.0,00,90,1.0,0.0,2.0,N,W,19.33,99.183,N,W,16.31,-98.88,1995-09-14,INSTITUTO DE INGENIERIA UNAM,CUP4,14:04:30.5,14:05:00.36,22.0,0.0,6.4,7.2,7.3,0.0,0.0,0.0,0.0,0.0,7.3,091495C
JAMI1405.081,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.284353,97.820692,N,W,17.11,-100.87,2014-05-08,INSTITUTO DE INGENIERIA UNAM,JAMI,17:00:16,17:01:01.000,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.5,201405081700A
