Base,OrientacionH1,OrientacionH2,SignoV,SignoH1,SignoH2,AnguloH1,AnguloH2,EjeV,EjeH1,EjeH2,Norte,Oeste,LatEstacion,LonEstacion,Norte.1,Oeste.1,LatSismo,LonSismo,Fecha,Institucion,IDEstacion,HoraEpicentro,HoraPrimerMuestra,Profundidad,Mw,Mb,Ms,Mc,Ma,Me,Md,Ml,M,GMW,IDSismo
COYC1802.161,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.997788,100.089963,N,W,16.218,-98.014,2018-02-16,INSTITUTO DE INGENIERIA UNAM ,COYC,23:39:39,23:39:51.000,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,201802162339A
RABO1802.191,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.569078,98.445409,N,W,16.248,-97.775,2018-02-19,INSTITUTO DE INGENIERIA UNAM ,RABO,06:56:58,06:56:52.000,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201802190657A
UNIO0903.271,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.98762,101.810623,N,W,17.35,-100.82,2009-03-27,INSTITUTO DE INGENIERIA UNAM,UNIO,08:48:16,08:48:10.000,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.3,200903270848A
OXCU1802.191,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.048881,96.713269,N,W,16.248,-97.775,2018-02-19,INSTITUTO DE INGENIERIA UNAM ,OXCU,06:56:58,06:56:31.000,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201802190657A
TNLP1511.231,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.095563,99.560805,N,W,16.86,-98.94,2015-11-23,INSTITUTO DE INGENIERIA UNAM,TNLP,20:41:20,20:41:10.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,201511232041A
NITA0608.131,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,19.020738,102.085089,N,W,18.23,-103.62,2006-08-13,INSTITUTO DE INGENIERIA UNAM,NITA,15:14:26,15:14:33.000,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.3,200608131514A
POZU1104.261,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.09008,99.59754,N,W,16.71,-99.69,2011-04-26,INSTITUTO DE INGENIERIA UNAM ,POZU,11:07:28,11:06:44.000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.4,201104261107A
SJLL1802.1730,NE,NE,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,16.657822,98.498463,N,W,16.262,-98.105,2018-02-17,INSTITUTO DE INGENIERIA UNAM ,SJLL,21:30:43,21:30:02.000,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.2,201802172130A
OCLL1308.211,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.036585,99.878515,N,W,16.79,-99.56,2013-08-21,INSTITUTO DE INGENIERIA UNAM ,OCLL,12:38:30,12:37:59.000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.2,201308211238A
RABO1802.162,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.569078,98.445409,N,W,16.218,-98.014,2018-02-16,INSTITUTO DE INGENIERIA UNAM ,RABO,23:39:39,23:39:30.000,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,201802162339A
OCLL1605.081,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.036585,99.878515,N,W,16.25,-97.98,2016-05-08,INSTITUTO DE INGENIERIA UNAM ,OCLL,07:33:59,07:34:26.000,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201605080734A
SLU21308.211,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.280802,100.935496,N,W,16.79,-99.56,2013-08-21,INSTITUTO DE INGENIERIA UNAM ,SLU2,12:38:30,12:38:07.000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.2,201308211238A
OXJM1802.171,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.445191,95.444705,N,W,16.072,-97.802,2018-02-17,INSTITUTO DE INGENIERIA UNAM ,OXJM,03:54:42,03:55:10.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0
HUAM1802.162,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.031121,95.670297,N,W,16.218,-98.014,2018-02-16,INSTITUTO DE INGENIERIA UNAM ,HUAM,23:39:39,23:39:31.000,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,201802162339A
POZU9509.141,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,17.09008,99.59754,N,W,16.31,-98.88,1995-09-14,INSTITUTO DE INGENIERIA UNAM,POZU,14:04:30.5,14:04:32.00,22.0,0.0,6.4,7.2,7.3,0.0,0.0,0.0,0.0,0.0,7.3,091495C
TX5A0301.221,NE,H2,1.0,1.0,0.0,90,0,2.0,1.0,0.0,N,W,19.49,98.97,N,W,18.6,-104.22,2003-01-22,INSTITUTO DE INGENIERIA UNAM,TX5A,02:06:34.5,02:08:43.000,9.0,0.0,6.5,7.6,0.0,7.2,7.6,0.0,0.0,0.0,7.5,012203A
HUAM1802.191,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.031121,95.670297,N,W,16.248,-97.775,2018-02-19,INSTITUTO DE INGENIERIA UNAM ,HUAM,06:56:58,06:57:03.000,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201802190657A
SLUI9805.091,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.272,100.891,N,W,17.34,-101.41,1998-05-09,INSTITUTO DE INGENIERIA UNAM,SLUI,17:03:13.1,17:02:55.810,18.0,0.0,4.8,4.7,4.8,5.2,5.1,0.0,0.0,0.0,5.2,050998I
ACAZ9607.151,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,16.788528,99.790152,N,W,17.45,-101.16,1996-07-15,INSTITUTO DE INGENIERIA UNAM,ACAZ,21:23:38.5,21:24:20    ,20.0,0.0,5.7,6.5,6.0,0.0,0.0,0.0,0.0,0.0,6.6,071596D
RIOG9802.031,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.01435,97.43863,N,W,15.69,-96.37,1998-02-03,INSTITUTO DE INGENIERIA UNAM,RIOG,03:02:01.1,03:01:58.815,33.0,0.0,6.0,6.2,6.4,6.4,0.0,0.0,0.0,0.0,6.3,020398A
SUCH1104.261,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.226169,100.638345,N,W,16.71,-99.69,2011-04-26,INSTITUTO DE INGENIERIA UNAM ,SUCH,11:07:28,11:06:59.000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.4,201104261107A
OAXM9701.211,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,17.082872,96.718744,N,W,16.44,-98.15,1997-01-21,INSTITUTO DE INGENIERIA UNAM,OAXM,21:19:58.0,21:20:50    ,18.0,0.0,5.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,012197D
TEAC8509.211,SE,SE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.61763,99.454086,N,W,18.021,-101.479,1985-09-21,INSTITUTO DE INGENIERIA UNAM,TEAC,01:37:18.4,01:40:57.00,15.0,0.0,6.3,7.6,7.5,0.0,0.0,0.0,0.0,0.0,7.5,092185A
TEAC9607.151,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.61763,99.454086,N,W,17.45,-101.16,1996-07-15,INSTITUTO DE INGENIERIA UNAM,TEAC,21:23:38.5,21:24:40.35 ,20.0,0.0,5.7,6.5,6.0,0.0,0.0,0.0,0.0,0.0,6.6,071596D
PHPU1802.191,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,19.044223,98.168466,N,W,16.248,-97.775,2018-02-19,INSTITUTO DE INGENIERIA UNAM ,PHPU,06:56:58,06:57:37.000,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201802190657A
SLU20903.271,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.280802,100.935496,N,W,17.35,-100.82,2009-03-27,INSTITUTO DE INGENIERIA UNAM,SLU2,08:48:16,08:47:41.000,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.3,200903270848A
ZACA8604.301,NW,SE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,18.009,102.178,N,W,18.024,-103.057,1986-04-30,INSTITUTO DE INGENIERIA UNAM,ZACA,07:07:18.9,07:07:42,20.0,0.0,6.2,7.0,6.4,0.0,0.0,0.0,0.0,0.0,6.9,043086A
TXS29802.031,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,19.492,98.977,N,W,15.69,-96.37,1998-02-03,INSTITUTO DE INGENIERIA UNAM,TXS2,03:02:01.1,03:03:28.630,33.0,0.0,6.0,6.2,6.4,6.4,0.0,0.0,0.0,0.0,6.3,020398A
OCLL0903.271,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.036585,99.878515,N,W,17.35,-100.82,2009-03-27,INSTITUTO DE INGENIERIA UNAM,OCLL,08:48:16,08:48:04.000,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.3,200903270848A
SXPU1802.191,NE,NE,1.0,1.0,1.0,00,90,0.0,1.0,2.0,N,W,19.039943,98.215087,N,W,16.248,-97.775,2018-02-19,INSTITUTO DE INGENIERIA UNAM ,SXPU,06:56:58,06:57:35.915,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201802190657A
UNIO1308.211,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.98762,101.810623,N,W,16.79,-99.56,2013-08-21,INSTITUTO DE INGENIERIA UNAM ,UNIO,12:38:30,12:38:58.000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.2,201308211238A
CANA0608.131,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,18.567007,101.977162,N,W,18.23,-103.62,2006-08-13,INSTITUTO DE INGENIERIA UNAM,CANA,15:14:26,15:14:32.000,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.3,200608131514A
OXXO1511.233,NE,NE,1.0,1.0,1.0,00,90,1.0,0.0,2.0,N,W,17.026234,96.726179,N,W,16.86,-98.94,2015-11-23,INSTITUTO DE INGENIERIA UNAM,OXXO,20:41:20,20:41:36.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,201511232041A
COYC9805.091,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.997788,100.089963,N,W,17.34,-101.41,1998-05-09,INSTITUTO DE INGENIERIA UNAM,COYC,17:03:13.1,17:03:20.810,18.0,0.0,4.8,4.7,4.8,5.2,5.1,0.0,0.0,0.0,5.2,050998I
TNLP1405.101,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.095563,99.560805,N,W,17.06,-100.95,2014-05-10,INSTITUTO DE INGENIERIA UNAM,TNLP,07:36:01,07:35:40.000,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.1,201405100736A
PENR0301.221,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,19.332671,99.04135,N,W,18.6,-104.22,2003-01-22,INSTITUTO DE INGENIERIA,PENR,02:06:34.5,02:08:56.46,9.0,0.0,6.5,7.6,0.0,7.2,7.6,0.0,0.0,0.0,7.5,012203A
OXTO1712.211,NE,NE,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,17.078389,96.744158,N,W,15.929,-98.379,2017-12-21,INSTITUTO DE INGENIERIA UNAM ,OXTO,03:23:32,03:23:46.000,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.2,201712210323A
JAMI1004.201,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.284353,97.820692,N,W,16.07,-98.34,2010-04-20,INSTITUTO DE INGENIERIA UNAM,JAMI,02:28:57,02:28:27.000,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,201004200229A
MADR9310.241,NE,NE,1.0,1.0,1.0,00,90,1.0,0.0,2.0,N,W,19.536,99.261,N,W,16.54,-98.98,1993-10-24,INSTITUTO DE INGENIERIA UNAM,MADR,07:52:18.2,07:52:41.86,19.0,0.0,6.2,6.6,6.5,0.0,0.0,0.0,0.0,0.0,6.6,102493C
ACAC1511.231,NW,NW,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,16.84851,99.85157,N,W,16.86,-98.94,2015-11-23,INSTITUTO DE INGENIERIA UNAM,ACAC,20:41:20,20:40:47.455,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,201511232041A
THEZ1802.191,NE,NE,1.0,1.0,1.0,00,90,0.0,1.0,2.0,N,W,18.477554,97.383184,N,W,16.248,-97.775,2018-02-19,INSTITUTO DE INGENIERIA UNAM ,THEZ,06:56:58,06:57:18.000,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201802190657A
COYC8509.191,NW,SE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,16.997788,100.089963,N,W,18.081,-102.942,1985-09-19,INSTITUTO DE INGENIERIA UNAM,COYC,13:17:42.6,13:19:09.00,15.0,0.0,6.8,8.1,8.1,0.0,0.0,0.0,0.0,0.0,8.0,091985B
ACAD0401.011,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,16.86225,99.87147,N,W,17.34,-101.42,2004-01-01,INSTITUTO DE INGENIERIA UNAM,ACAD,23:31:49.0,23:32:10    ,6.0,0.0,5.6,5.7,5.0,5.9,6.3,0.0,0.0,0.0,6.0,010104K
CTCL1802.191,NE,NE,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,19.434521,99.133503,N,W,16.248,-97.775,2018-02-19,INSTITUTO DE INGENIERIA UNAM ,CTCL,06:56:58,06:57:57.000,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201802190657A
SMR20411.151,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.77351,99.4377,N,W,16.0,-98.71,2004-11-15,INSTITUTO DE INGENIERIA UNAM,SMR2,02:38:40.0,02:37:29.00,21.0,0.0,5.2,4.7,5.1,0.0,0.0,0.0,0.0,0.0,5.3,111504A
RIOG0608.191,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.01435,97.43863,N,W,15.91,-97.3,2006-08-19,INSTITUTO DE INGENIERIA UNAM,RIOG,05:41:30,05:41:00.000,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.6,200608190541A
CUP49607.151,NE,NE,1.0,1.0,1.0,00,90,1.0,0.0,2.0,N,W,19.33,99.183,N,W,17.45,-101.16,1996-07-15,INSTITUTO DE INGENIERIA UNAM,CUP4,21:23:38.5,21:25:01.21,20.0,0.0,5.7,6.5,6.0,0.0,0.0,0.0,0.0,0.0,6.6,071596D
HMTT1308.161,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,17.798341,98.559717,N,W,16.54,-98.59,2013-08-16,INSTITUTO DE INGENIERIA UNAM ,HMTT,15:32:59,15:32:23.000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.3,201308161533A
ACP21802.191,NE,NE,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,16.874294,99.886505,N,W,16.248,-97.775,2018-02-19,INSTITUTO DE INGENIERIA UNAM ,ACP2,06:56:58,06:57:17.000,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201802190657A
SJLL1802.162,NE,NE,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,16.657822,98.498463,N,W,16.218,-98.014,2018-02-16,INSTITUTO DE INGENIERIA UNAM ,SJLL,23:39:39,23:38:59.000,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,201802162339A
OCTT9509.141,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,17.25267,99.50587,N,W,16.31,-98.88,1995-09-14,INSTITUTO DE INGENIERIA UNAM,OCTT,14:04:30.5,14:04:47.88,22.0,0.0,6.4,7.2,7.3,0.0,0.0,0.0,0.0,0.0,7.3,091495C
PENR1004.201,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,19.332671,99.04135,N,W,16.07,-8.34,2010-04-20,INSTITUTO DE INGENIERIA UNAM,PENR,02:28:57,02:29:56.000,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0
TACY8509.191,SW,SE,1.0,1.0,1.0,79,11,0.0,1.0,2.0,N,W,19.404505,99.195246,N,W,18.081,-102.942,1985-09-19,INSTITUTO DE INGENIERIA UNAM,TACY,13:17:42.6,13:19:09            ,15.0,0.0,6.8,8.1,8.1,0.0,0.0,0.0,0.0,0.0,8.0,091985B
ATYC9807.051,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.213361,100.432269,N,W,16.83,-100.12,1998-07-05,INSTITUTO DE INGENIERIA UNAM,ATYC,19:55:07.1,19:54:42.810,5.0,0.0,4.9,4.5,4.9,5.2,4.9,0.0,0.0,0.0,5.3,070598D
MADI9509.141,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,19.536,99.261,N,W,16.31,-98.88,1995-09-14,INSTITUTO DE INGENIERIA UNAM,MADI,14:04:30.5,14:05:34   ,22.0,0.0,6.4,7.2,7.3,0.0,0.0,0.0,0.0,0.0,7.3,091495C
CAYA8509.211,SE,SE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.045,100.266,N,W,18.021,-101.479,1985-09-21,INSTITUTO DE INGENIERIA UNAM,CAYA,01:37:18.4,01:38:04.88,15.0,0.0,6.3,7.6,7.5,0.0,0.0,0.0,0.0,0.0,7.5,092185A
CUMV8509.211,SW,SW,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,19.33,99.183,N,W,18.021,-101.479,1985-09-21,INSTITUTO DE INGENIERIA UNAM,CUMV,01:37:18.4,01:38:39           ,15.0,0.0,6.3,7.6,7.5,0.0,0.0,0.0,0.0,0.0,7.5,092185A
SCT21104.261,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,19.394694,99.148678,N,W,16.71,-99.69,2011-04-26,INSTITUTO DE INGENIERIA UNAM ,SCT2,11:07:28,11:08:06.000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.4,201104261107A
TOTO1802.161,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,19.330241,98.256828,N,W,16.218,-98.014,2018-02-16,INSTITUTO DE INGENIERIA UNAM ,TOTO,23:39:39,23:39:45.000,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,201802162339A
TXCR0301.221,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,19.501514,98.806198,N,W,18.6,-104.22,2003-01-22,INSTITUTO DE INGENIERIA UNAM,TXCR,02:06:34.5,02:07:44    ,9.0,0.0,6.5,7.6,0.0,7.2,7.6,0.0,0.0,0.0,7.5,012203A
TAMA1408.041,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.26116,96.57529,N,W,15.83,-94.93,2014-08-04,INSTITUTO DE INGENIERIA UNAM,TAMA,04:25:30,04:25:26.000,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0
OMTP0109.041,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.689,98.398,N,W,16.29,-98.42,2001-09-04,INSTITUTO DE INGENIERIA UNAM,OMTP,03:26:27.8,03:26:11.000,3.0,0.0,5.0,4.9,5.0,5.2,5.1,0.0,0.0,0.0,5.2,090401B
PET20301.221,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.535396,101.262608,N,W,18.6,-104.22,2003-01-22,INSTITUTO DE INGENIERIA UNAM,PET2,02:06:34.5,02:07:35.00 ,9.0,0.0,6.5,7.6,0.0,7.2,7.6,0.0,0.0,0.0,7.5,012203A
PZPU1802.171,NE,NE,1.0,1.0,1.0,00,90,0.0,1.0,2.0,N,W,19.055379,98.227092,N,W,15.844,-97.989,2018-02-17,INSTITUTO DE INGENIERIA UNAM ,PZPU,00:36:51,00:37:41.284,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,6.0,201802170036A
SLU20810.201,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.280802,100.935496,N,W,17.25,-102.09,2008-10-20,INSTITUTO DE INGENIERIA UNAM,SLU2,05:00:52,05:00:28.000,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.2,200810200501A
CHFL1104.261,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.969493,97.865638,N,W,16.71,-99.69,2011-04-26,INSTITUTO DE INGENIERIA UNAM ,CHFL,11:07:28,11:07:16.000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.4,201104261107A
SCT19607.151,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,19.394694,99.148678,N,W,17.45,-101.16,1996-07-15,INSTITUTO DE INGENIERIA UNAM,SCT1,21:23:38.5,21:25:03    ,20.0,0.0,5.7,6.5,6.0,0.0,0.0,0.0,0.0,0.0,6.6,071596D
POZU1808.221,NE,NE,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,17.09008,99.59754,N,W,16.534,-98.745,2018-08-22,INSTITUTO DE INGENIERIA UNAM ,POZU,18:03:08,18:02:48.000,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.3,201808221803A
OAXM0401.131,NW,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.082872,96.718744,N,W,16.0,-97.17,2004-01-13,INSTITUTO DE INGENIERIA UNAM,OAXM,19:50:19.8,19:50:18.00,20.0,0.0,5.1,4.3,5.1,4.8,5.0,0.0,0.0,0.0,5.1,011304E
CDGU1405.101,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,19.699521,103.447815,N,W,17.06,-0.95,2014-05-10,INSTITUTO DE INGENIERIA UNAM,CDGU,07:36:01,07:37:00.000,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0
CHFL1308.212,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.969493,97.865638,N,W,16.73,-99.7,2013-08-21,INSTITUTO DE INGENIERIA UNAM ,CHFL,13:02:18,13:02:56.000,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.3,201308211302A
UNIO1405.081,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.98762,101.810623,N,W,17.11,-100.87,2014-05-08,INSTITUTO DE INGENIERIA UNAM,UNIO,17:00:16,16:59:49.000,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.5,201405081700A
SNJE1405.101,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,18.535047,101.323693,N,W,17.06,-100.95,2014-05-10,INSTITUTO DE INGENIERIA UNAM,SNJE,07:36:01,07:35:36.000,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.1,201405100736A
PAPN9607.151,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.328,101.04,N,W,17.45,-101.16,1996-07-15,INSTITUTO DE INGENIERIA UNAM,PAPN,21:23:38.5,21:23:08.810,20.0,0.0,5.7,6.5,6.0,0.0,0.0,0.0,0.0,0.0,6.6,071596D
RIOG1004.201,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.01435,97.43863,N,W,16.07,-98.34,2010-04-20,INSTITUTO DE INGENIERIA UNAM,RIOG,02:28:57,02:28:49.000,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,201004200229A
COYQ9807.051,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.380235,101.056526,N,W,16.83,-100.12,1998-07-05,INSTITUTO DE INGENIERIA UNAM,COYQ,19:55:07.1,19:55:10.810,5.0,0.0,4.9,4.5,4.9,5.2,4.9,0.0,0.0,0.0,5.3,070598D
PAPN8509.211,SW,SW,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,17.328,101.04,N,W,18.021,-101.479,1985-09-21,INSTITUTO DE INGENIERIA UNAM,PAPN,01:37:18.4,01:37:27.30,15.0,0.0,6.3,7.6,7.5,0.0,0.0,0.0,0.0,0.0,7.5,092185A
OXLC1408.041,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.065039,96.703157,N,W,15.83,-94.93,2014-08-04,INSTITUTO DE INGENIERIA UNAM,OXLC,04:25:30,04:25:31.000,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0
SCT29509.141,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,19.394694,99.148678,N,W,16.31,-98.88,1995-09-14,INSTITUTO DE INGENIERIA UNAM,SCT2,14:04:30.5,14:05:38   ,22.0,0.0,6.4,7.2,7.3,0.0,0.0,0.0,0.0,0.0,7.3,091495C
HMTT1511.231,NE,NE,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,17.798341,98.559717,N,W,16.86,-98.94,2015-11-23,INSTITUTO DE INGENIERIA UNAM,HMTT,20:41:20,20:40:38.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,201511232041A
POZU1310.062,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,17.09008,99.59754,N,W,16.81,-100.11,2013-10-06,INSTITUTO DE INGENIERIA UNAM ,POZU,15:10:56,15:10:17.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.1,201310061510A
ACAC0401.012,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,16.84851,99.85157,N,W,17.3,-101.36,2004-01-01,INSTITUTO DE INGENIERIA UNAM,ACAC,23:58:02.7,23:58:23.64 ,14.0,0.0,5.2,5.8,5.0,5.6,5.7,0.0,0.0,0.0,5.6,010104L
